label,area
930,1.0
931,30.0
932,1.0
933,2.0
934,1.0
935,1.0
936,4196.0
937,3.0
938,1.0
939,1.0
940,2.0
941,2.0
942,1.0
943,1.0
944,1.0
945,2.0
946,1.0
947,1.0
948,1.0
949,2.0
950,2.0
951,1.0
952,1.0
953,1.0
954,1.0
955,27.0
956,1.0
957,1.0
958,1.0
959,1.0
960,541.0
961,1.0
962,1.0
963,2.0
964,1.0
965,1.0
966,1.0
967,2.0
968,1.0
969,540.0
970,1465.0
971,434.0
972,4.0
973,1.0
974,2769.0
975,1.0
976,1.0
977,1.0
978,1.0
979,2.0
980,1.0
981,1.0
982,2.0
983,2.0
984,1.0
985,1.0
986,1.0
987,2.0
988,1.0
989,1.0
990,1.0
991,1.0
992,1.0
993,14.0
994,11.0
995,2.0
996,1.0
997,1835.0
998,1.0
999,2.0
1000,2.0
1001,1.0
1002,2.0
1003,1.0
1004,720.0
1005,1.0
1006,3.0
1007,2.0
1008,1.0
1009,1.0
1010,1.0
1011,1.0
1012,2.0
1013,2.0
1014,1.0
1015,1.0
1016,1.0
1017,1.0
1018,1.0
1019,1.0
1020,1.0
1021,1.0
1022,2.0
1023,1.0
1024,2.0
1025,2.0
1026,6.0
1027,1.0
1028,1.0
1029,1.0
1030,1.0
1031,2790.0
1032,3.0
1033,1.0
1034,1.0
1035,2.0
1036,1.0
1037,1.0
1038,2.0
1039,1572.0
1040,1.0
1041,1.0
1042,1.0
1043,1.0
1044,5.0
1045,1.0
1046,1.0
1047,1.0
1048,1.0
1049,1.0
1050,2.0
1051,1.0
1052,4.0
1053,2.0
1054,1.0
1055,2.0
1056,1.0
1057,1.0
1058,1.0
1059,11.0
1060,2.0
1061,11.0
1062,2.0
1063,1.0
1064,1.0
1065,1.0
1066,1.0
1067,379.0
1068,1.0
1069,2.0
1070,9.0
1071,25.0
1072,1.0
1073,1.0
1074,1.0
1075,4.0
1076,1.0
1077,1.0
1078,1.0
1079,1.0
1080,500.0
1081,2.0
1082,4.0
1083,1.0
1084,1.0
1085,1.0
1086,1.0
1087,1.0
1088,1.0
1089,1.0
1090,2.0
1091,34.0
1092,1.0
1093,1101.0
1094,1.0
